Id,Tipo_ID,Ocupacion,Nacimiento,Edad,RangoEtario,Estado,IngresosFinancieros,Activos,Pasivos,Patrimonio,NivelRiesgo,Segmento,RiesgoOcupacion,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas,Cluster
6812,CC,Empleado,1984-11-01,38,31-50,Activo,285370000,1118287000,677505000.0,440782000.0,Bajo,Personal,2,0.0,0.0,0.0,0,141500000.0,1,0.0,0.0,1
6813,CC,Empleado,1983-04-28,40,31-50,Activo,1411662000,5173420000,423035000.0,4750385000.0,Bajo,Personal,2,0.0,0.0,75000000.0,0,32400000.0,1,953010960.0,0.0,2
6815,CC,Empleado,1983-06-03,40,31-50,Activo,554857000,2589004000,1137773000.0,1451231000.0,Bajo,Personal,2,0.0,42927900.0,0.0,0,5000000.0,1,0.0,0.0,0
6816,CC,Empleado,1983-06-23,40,31-50,Activo,188228000,524508000,314579000.0,209929000.0,Medio,Personal,2,0.0,0.0,5609.0,0,466419892.47,1,478900478.65,0.0,2
6817,CC,Empleado,1983-09-12,39,31-50,Prospecto,72743000,1660135000,478385000.0,1181750000.0,Medio,Personal,2,492066000.0,0.0,503515000.0,3,0.0,0,0.0,0.0,2
6819,CC,Empleado,1983-10-07,39,31-50,En Espera,360000000,1400000000,600000000.0,800000000.0,Medio,Personal,2,0.0,7379000.0,0.0,0,1199348.33,2,0.0,0.0,0
6820,CC,Empleado,1983-10-08,39,31-50,Activo,1693169000,3077328000,53040000.0,3024288000.0,Medio,Personal,2,0.0,0.0,586250000.0,0,399186755.023333,2,0.0,0.0,2
6822,CC,Empleado,1983-12-01,39,31-50,Activo,360000000,100000000,0.0,100000000.0,Bajo,Personal,2,0.0,65956250.0,0.0,0,18200000.0,1,0.0,0.0,0
6823,CC,Empleado,1983-12-04,39,31-50,Activo,153759000,1607095000,152461000.0,1454634000.0,Medio,Personal,2,0.0,0.0,0.0,0,29809447.085,2,0.0,0.0,1
6825,CC,Empleado,1983-06-19,40,31-50,Activo,186970000,929214000,60428000.0,868786000.0,Bajo,Personal,2,0.0,0.0,10020000.0,0,15597584.7066667,3,10485000.0,0.0,2
6826,CC,Empleado,1984-04-12,39,31-50,Activo,137458000,591344000,333333000.0,258011000.0,Bajo,Personal,2,423158400.0,0.0,20000000.0,0,19592796.5,2,0.0,0.0,2
6830,CC,Empleado,1984-07-19,38,31-50,Activo,94417000,1402736000,250023000.0,1152713000.0,Medio,Personal,2,0.0,0.0,0.0,0,0.0,0,98629600.0,0.0,1
6832,CC,Empleado,1984-06-04,39,31-50,En Espera,96000000,992765000,545829000.0,466936000.0,Medio,Personal,2,0.0,130383750.0,0.0,0,16430000.0,1,0.0,0.0,0
6833,CC,Empleado,1984-08-28,38,31-50,Activo,6000000,1175444000,956000.0,966295000.0,Medio,Personal,2,0.0,0.0,0.0,0,66095292.82,2,0.0,0.0,1
6837,CC,Empleado,1983-04-17,40,31-50,Activo,253753000,495181000,162326000.0,332855000.0,Bajo,Personal,2,0.0,242816160.0,22000000.0,0,25097111.0,1,0.0,0.0,3
6838,CC,Empleado,1981-06-28,42,31-50,Activo,223008000,187145000,83901000.0,103244000.0,Bajo,Personal,2,0.0,20460000.0,39650000.0,0,18213000.0,1,0.0,0.0,3
6839,CC,Empleado,1983-03-27,40,31-50,Activo,234954000,3966911000,3264000.0,3963647000.0,Bajo,Personal,2,0.0,126017500.0,100000000.0,0,97765643.9866667,2,1055600000.0,0.0,3
6841,CC,Empleado,1979-11-30,43,31-50,Activo,130707000,631545000,1341000.0,630204000.0,Medio,Personal,2,0.0,873209865.0,50418888.8888889,0,5600000.0,2,0.0,0.0,3
6844,CC,Empleado,1980-10-17,42,31-50,Activo,135826000,1567837000,237225000.0,1330612000.0,Bajo,Personal,2,884236680.0,85380846.95,5000000.0,0,13273839.6875,2,0.0,0.0,3
6845,CC,Empleado,1980-08-16,42,31-50,En Espera,180000000,1804385000,337616000.0,1466769000.0,Bajo,Personal,2,38313600.0,0.0,0.0,0,12309995.0433333,2,0.0,0.0,1
6846,CC,Empleado,1980-12-04,42,31-50,Prospecto,518506000,2442648000,588881000.0,1853767000.0,Bajo,Personal,2,228275000.0,0.0,250250000.0,1,4945200.0,1,0.0,0.0,2
6848,CC,Empleado,1981-03-13,42,31-50,Activo,83448000,385000000,100000000.0,285000000.0,Medio,Personal,2,0.0,0.0,300000.0,0,0.0,0,0.0,0.0,2
6849,CC,Empleado,1982-05-15,41,31-50,En Espera,107592000,284463000,166992000.0,117471000.0,Medio,Personal,2,0.0,50288600.0,0.0,0,4583646.52,1,0.0,0.0,0
6852,CC,Empleado,1965-03-11,58,Mayor de 50,Activo,625507000,3576413000,109000.0,3576304000.0,Medio,Personal,2,0.0,0.0,0.0,0,20742712.8,3,0.0,0.0,1
6853,CC,Empleado,1965-10-14,57,Mayor de 50,Activo,210406000,3058080000,375555000.0,2682525000.0,Bajo,Personal,2,0.0,488357417.2,0.0,0,47500000.0,1,0.0,0.0,0
6854,CC,Empleado,1967-12-26,55,Mayor de 50,Activo,3424167,349051000,0.0,349051000.0,Medio,Personal,2,0.0,0.0,0.0,0,48039160.83,1,0.0,0.0,4
6856,CC,Empleado,1965-01-24,58,Mayor de 50,Activo,3532286000,8506802000,4621357000.0,3885445000.0,Bajo,Personal,2,0.0,2343.97,528354.333333333,0,42111997.7,1,291271750.0,0.0,3
6859,CC,Empleado,1965-03-05,58,Mayor de 50,Activo,308708000,3588406000,294894000.0,3293512000.0,Bajo,Personal,2,0.0,195570410.0,0.0,0,85707332.49,1,0.0,0.0,0
6860,CC,Empleado,1965-05-06,58,Mayor de 50,Activo,638497000,2751615000,1586194000.0,1165421000.0,Bajo,Personal,2,0.0,0.0,575079350.0,0,255000000.0,1,0.0,0.0,2
